data_ini_se,vetor_fonte,n_armadilhas,aegypti_total,aegypti_femea,albopictus_total,culex_total,aegypti_por_armadilha,imfa_femea
2018-12-30,marilia,1292,55,,1,128,0.04256965944272446,
2019-01-06,marilia,1364,57,,10,180,0.041788856304985335,
2019-01-13,marilia,1365,455,,46,628,0.3333333333333333,
2019-01-20,marilia,1365,371,,29,549,0.2717948717948718,
2019-01-27,marilia,1426,438,,47,704,0.3071528751753156,
2019-02-03,marilia,1434,443,,41,587,0.3089260808926081,
2019-02-10,marilia,1434,406,,41,567,0.28312412831241285,
2019-02-17,marilia,1434,526,,32,568,0.3668061366806137,
2019-02-24,marilia,1434,448,,30,600,0.3124128312412831,
2019-03-03,marilia,1421,543,,45,318,0.3821252638986629,
2019-03-10,marilia,1422,429,,34,309,0.30168776371308015,
2019-03-17,marilia,1430,657,,45,325,0.45944055944055945,
2019-03-24,marilia,1426,608,,120,381,0.426367461430575,
2019-03-31,marilia,1434,616,,51,402,0.4295676429567643,
2019-04-07,marilia,1434,575,,41,339,0.40097629009762903,
2019-04-14,marilia,1434,447,,33,411,0.3117154811715481,
2019-04-21,marilia,1433,506,,46,374,0.3531053733426378,
2019-04-28,marilia,1430,529,,32,483,0.36993006993006994,
2019-05-05,marilia,1431,538,,32,348,0.37596086652690425,
2019-05-12,marilia,1433,440,,42,357,0.30704815073272856,
2019-05-19,marilia,1434,615,,32,402,0.42887029288702927,
2019-05-26,marilia,1434,356,,16,308,0.2482566248256625,
2019-06-02,marilia,1434,327,,29,325,0.2280334728033473,
2019-06-09,marilia,1434,343,,23,564,0.2391910739191074,
2019-06-16,marilia,1434,455,,26,466,0.3172942817294282,
2019-06-23,marilia,1362,362,,36,459,0.2657856093979442,
2019-06-30,marilia,1362,156,,7,293,0.1145374449339207,
2019-07-07,marilia,1434,48,,2,331,0.03347280334728033,
2019-07-14,marilia,1362,61,,4,268,0.044787077826725405,
2019-07-21,marilia,1264,19,,2,181,0.015031645569620253,
2019-07-28,marilia,1142,22,,44,159,0.01926444833625219,
2019-08-04,marilia,1215,13,,0,170,0.010699588477366255,
2019-08-11,marilia,1429,13,,1,128,0.009097270818754374,
2019-08-18,marilia,1361,9,,0,190,0.006612784717119765,
2019-08-25,marilia,1289,20,,0,117,0.015515903801396431,
2019-09-01,marilia,1290,20,,10,117,0.015503875968992248,
2019-09-08,marilia,1219,4,,2,101,0.003281378178835111,
2019-09-15,marilia,1217,7,,1,94,0.005751848808545604,
2019-09-22,marilia,1289,18,,3,171,0.013964313421256789,
2019-09-29,marilia,1288,33,,2,193,0.02562111801242236,
2019-10-06,marilia,1360,29,,6,202,0.021323529411764706,
2019-10-13,marilia,1359,43,,6,311,0.03164091243561442,
2019-10-20,marilia,1431,35,,4,291,0.02445842068483578,
2019-10-27,marilia,1431,40,,6,272,0.027952480782669462,
2019-11-03,marilia,1431,102,,8,273,0.07127882599580712,
2019-11-10,marilia,1430,80,,14,371,0.055944055944055944,
2019-11-17,marilia,1432,149,,20,293,0.10405027932960893,
2019-11-24,marilia,1430,254,,21,423,0.17762237762237762,
2019-12-01,marilia,1430,198,,15,417,0.13846153846153847,
2019-12-08,marilia,1430,235,,21,394,0.16433566433566432,
2019-12-15,marilia,1430,222,,18,425,0.15524475524475526,
2019-12-22,marilia,1376,244,,20,577,0.17732558139534885,
2019-12-29,marilia,1321,229,,22,467,0.17335352006056018,
2020-01-05,marilia,1387,323,,18,495,0.2328767123287671,
2020-01-12,marilia,1397,310,,11,622,0.22190408017179672,
2020-01-19,marilia,1405,359,,20,536,0.25551601423487547,
2020-01-26,marilia,1409,431,,26,522,0.3058907026259759,
2020-02-02,marilia,1408,452,,27,716,0.3210227272727273,
2020-02-09,marilia,1407,437,,35,610,0.31058990760483296,
2020-02-16,marilia,1407,488,,29,554,0.3468372423596304,
2020-02-23,marilia,1323,363,,20,316,0.2743764172335601,
2020-03-01,marilia,1336,357,,19,419,0.26721556886227543,
2020-03-08,marilia,1358,470,,22,355,0.34609720176730485,
2020-03-15,marilia,1357,467,,19,174,0.344141488577745,
2020-03-22,marilia,1323,302,,25,131,0.22826908541194255,
2020-03-29,marilia,1083,316,,9,123,0.2917820867959372,
2020-04-05,marilia,1106,300,,16,212,0.27124773960216997,
2020-04-12,marilia,1055,233,,8,202,0.22085308056872038,
2020-04-19,marilia,1019,235,,9,198,0.23061825318940138,
2020-04-26,marilia,993,303,,17,202,0.30513595166163143,
2020-05-03,marilia,985,318,,8,242,0.32284263959390863,
2020-05-10,marilia,959,191,,13,260,0.1991657977059437,
2020-05-17,marilia,949,154,,10,244,0.16227608008429925,
2020-05-24,marilia,942,87,,7,182,0.09235668789808917,
2020-05-31,marilia,943,93,,10,140,0.09862142099681867,
2020-06-07,marilia,941,39,,3,113,0.04144527098831031,
2020-06-14,marilia,939,50,,0,102,0.05324813631522897,
2020-06-21,marilia,884,107,,5,147,0.12104072398190045,
2020-06-28,marilia,877,30,,1,190,0.03420752565564424,
2020-07-05,marilia,840,7,,0,107,0.008333333333333333,
2020-07-12,marilia,782,7,,0,59,0.008951406649616368,
2020-07-19,marilia,780,11,,0,112,0.014102564102564103,
2020-07-26,marilia,826,10,,1,86,0.012106537530266344,
2020-08-02,marilia,821,11,,0,99,0.013398294762484775,
2020-08-09,marilia,864,14,,0,128,0.016203703703703703,
2020-08-16,marilia,862,15,,0,125,0.01740139211136891,
2020-08-23,marilia,826,7,,0,105,0.00847457627118644,
2020-08-30,marilia,773,9,,0,75,0.01164294954721863,
2020-09-06,marilia,761,3,,0,65,0.003942181340341655,
2020-09-13,marilia,726,2,,0,54,0.0027548209366391185,
2020-09-20,marilia,800,5,,0,70,0.00625,
2020-09-27,marilia,804,14,,0,99,0.017412935323383085,
2020-10-04,marilia,734,9,,1,82,0.01226158038147139,
2020-10-11,marilia,735,22,,1,65,0.029931972789115645,
2020-10-18,marilia,734,19,,2,103,0.025885558583106268,
2020-10-25,marilia,798,27,,2,134,0.03383458646616541,
2020-11-01,marilia,798,29,,2,191,0.03634085213032581,
2020-11-08,marilia,852,37,,7,211,0.04342723004694836,
2020-11-15,marilia,852,42,,6,192,0.04929577464788732,
2020-11-22,marilia,837,41,,4,183,0.04898446833930705,
2020-11-29,marilia,751,69,,2,112,0.09187749667110519,
2020-12-06,marilia,750,65,,6,335,0.08666666666666667,
2020-12-13,marilia,741,135,,6,163,0.18218623481781376,
2020-12-20,marilia,737,236,,10,366,0.3202170963364993,
2020-12-27,marilia,771,237,,7,294,0.30739299610894943,
2021-01-03,marilia,756,306,,8,310,0.40476190476190477,
2021-01-10,marilia,741,235,,6,268,0.31713900134952766,
2021-01-17,marilia,752,242,,7,274,0.32180851063829785,
2021-01-24,marilia,760,218,,10,248,0.2868421052631579,
2021-01-31,marilia,751,227,,13,221,0.3022636484687084,
2021-02-07,marilia,789,560,,13,218,0.7097591888466414,
2021-02-14,marilia,782,530,,10,179,0.6777493606138107,
2021-02-21,marilia,750,432,,16,191,0.576,
2021-02-28,marilia,788,474,,12,252,0.6015228426395939,
