algoritmo,conjunto,h,n,MAE,R2
elastic_net,M0_clima6,1,75,35.64553384389861,0.761617312081158
elastic_net,M0_clima6,2,74,42.03581716507831,0.692998052873631
elastic_net,M0_clima6,3,73,47.98883335534735,0.623672726904311
elastic_net,M0_clima6,4,72,52.00355528841226,0.6000539857647238
elastic_net,M0_clima6,5,71,70.43288499770857,0.28831553583133074
elastic_net,M0_clima6,6,70,77.26966753414057,0.24178760099262564
elastic_net,M0_clima6,7,69,73.70174786670884,0.16982853038942558
elastic_net,M0_clima6,8,68,79.2043586905451,0.1359372843757416
elastic_net,M0_clima6,9,67,79.64833159874031,0.08861866800513185
elastic_net,M0_clima6,10,66,86.86234663210047,0.08019824081098648
elastic_net,M0_clima6,11,65,80.69691944835435,0.09068626327138374
elastic_net,M0_clima6,12,64,89.10535496177135,0.07636771720766677
elastic_net,M1_clima6_vetor,1,75,39.12937278742379,0.7743124844151952
elastic_net,M1_clima6_vetor,2,74,44.901038797288855,0.7206925332437083
elastic_net,M1_clima6_vetor,3,73,49.80185615396539,0.6878594703646752
elastic_net,M1_clima6_vetor,4,72,53.09357865531074,0.665330372822861
elastic_net,M1_clima6_vetor,5,71,69.69969719986986,0.4077009844397519
elastic_net,M1_clima6_vetor,6,70,74.79740682750732,0.38352217982825
elastic_net,M1_clima6_vetor,7,69,70.05646210187511,0.3416987552504539
elastic_net,M1_clima6_vetor,8,68,74.29706804756617,0.2935917349830729
elastic_net,M1_clima6_vetor,9,67,76.70130584517723,0.2653944357348551
elastic_net,M1_clima6_vetor,10,66,82.3016313035029,0.24805692023356396
elastic_net,M1_clima6_vetor,11,65,81.13814209042393,0.23127768658833414
elastic_net,M1_clima6_vetor,12,64,88.48496359873613,0.20634510537103512
elastic_net,M0_clima8,1,75,35.788184624761286,0.7610793556533284
elastic_net,M0_clima8,2,74,42.252453826844466,0.6929329728347837
elastic_net,M0_clima8,3,73,48.07333419023901,0.6232633225359065
elastic_net,M0_clima8,4,72,52.030369550710574,0.6002118529735518
elastic_net,M0_clima8,5,71,70.52201279022006,0.2885530575739037
elastic_net,M0_clima8,6,70,77.25923764605909,0.24171278659337325
elastic_net,M0_clima8,7,69,73.76322851818597,0.1689316641753421
elastic_net,M0_clima8,8,68,79.23194108586426,0.135065539382077
elastic_net,M0_clima8,9,67,79.77124832693285,0.08794470676950239
elastic_net,M0_clima8,10,66,87.21803439066812,0.08031668778258438
elastic_net,M0_clima8,11,65,81.1452343342443,0.08997083476716616
elastic_net,M0_clima8,12,64,89.61302985152297,0.07487683263736034
elastic_net,M1_clima8_vetor,1,75,39.17628132168476,0.7738305373945084
elastic_net,M1_clima8_vetor,2,74,44.995451345431235,0.7203176754937306
elastic_net,M1_clima8_vetor,3,73,49.78135916454446,0.6872503309485405
elastic_net,M1_clima8_vetor,4,72,53.02968842796691,0.6655712920828318
elastic_net,M1_clima8_vetor,5,71,69.69299021664095,0.40744130292608916
elastic_net,M1_clima8_vetor,6,70,74.94050287949518,0.38303491307826754
elastic_net,M1_clima8_vetor,7,69,69.96192738437752,0.34098105259264067
elastic_net,M1_clima8_vetor,8,68,74.23521906284479,0.29453830952781035
elastic_net,M1_clima8_vetor,9,67,76.7881285583625,0.2668542404028478
elastic_net,M1_clima8_vetor,10,66,83.02938028186195,0.25064977128642885
elastic_net,M1_clima8_vetor,11,65,81.24132501611969,0.232083102629552
elastic_net,M1_clima8_vetor,12,64,88.99676809948811,0.20496458218855984
