algoritmo,conjunto,h,n,MAE,R2
knn,M0_clima6,1,75,36.01566873264194,0.6922356252172914
knn,M0_clima6,2,74,39.95102994323611,0.6734826276378028
knn,M0_clima6,3,73,44.633179264705056,0.610060016732952
knn,M0_clima6,4,72,48.51160377105426,0.5597214684522422
knn,M0_clima6,5,71,50.6466686076334,0.482607606024798
knn,M0_clima6,6,70,60.082963753497005,0.38953298701120265
knn,M0_clima6,7,69,57.20302371657138,0.3262246926239747
knn,M0_clima6,8,68,69.78216732016564,0.1599150608630726
knn,M0_clima6,9,67,67.51174204675408,0.1257706757093756
knn,M0_clima6,10,66,76.50346697418269,0.10798098779907661
knn,M0_clima6,11,65,70.37676315047035,0.1581364835583594
knn,M0_clima6,12,64,76.61965330765787,0.14178703604636833
knn,M1_clima6_vetor,1,75,37.7833853107868,0.6907977816255394
knn,M1_clima6_vetor,2,74,44.07715508720266,0.6573968927776973
knn,M1_clima6_vetor,3,73,50.06780905007046,0.5889719629191738
knn,M1_clima6_vetor,4,72,52.324248822110874,0.5450316836464688
knn,M1_clima6_vetor,5,71,55.387720184700775,0.48216970672455395
knn,M1_clima6_vetor,6,70,62.10987669762522,0.4276163491399174
knn,M1_clima6_vetor,7,69,57.432449641746345,0.45668430940432436
knn,M1_clima6_vetor,8,68,63.67611920439156,0.4555509939957646
knn,M1_clima6_vetor,9,67,57.75604787550261,0.5102881687264247
knn,M1_clima6_vetor,10,66,63.7770702927971,0.4433137939254216
knn,M1_clima6_vetor,11,65,57.6193694475942,0.46077020457275975
knn,M1_clima6_vetor,12,64,64.60946205658753,0.4144046244674978
knn,M0_clima8,1,75,36.75383187704191,0.685038373008934
knn,M0_clima8,2,74,40.967495529753805,0.6643563552301396
knn,M0_clima8,3,73,45.48372214888135,0.5947521726762484
knn,M0_clima8,4,72,48.776093853147714,0.546260024629084
knn,M0_clima8,5,71,51.922715001931365,0.4791031403386242
knn,M0_clima8,6,70,60.89242900978277,0.36676629049395415
knn,M0_clima8,7,69,61.682964783078326,0.2922898103354008
knn,M0_clima8,8,68,71.36055028468722,0.1549903134352949
knn,M0_clima8,9,67,71.65047931881891,0.10335833823142826
knn,M0_clima8,10,66,78.93342132215702,0.07689070691466815
knn,M0_clima8,11,65,75.89509470085656,0.03555050356643319
knn,M0_clima8,12,64,81.95817346383363,0.05668171591061588
knn,M1_clima8_vetor,1,75,38.636206383618024,0.680115202219682
knn,M1_clima8_vetor,2,74,45.88779649921831,0.6482280695231448
knn,M1_clima8_vetor,3,73,51.195517592830726,0.5696985743034226
knn,M1_clima8_vetor,4,72,53.537118650332154,0.5272335435224416
knn,M1_clima8_vetor,5,71,55.2929374609939,0.48742301819676004
knn,M1_clima8_vetor,6,70,60.85765058833509,0.4410662440034743
knn,M1_clima8_vetor,7,69,57.092520274018405,0.4709349917226898
knn,M1_clima8_vetor,8,68,62.871146176508745,0.4544675517365615
knn,M1_clima8_vetor,9,67,57.124668274325444,0.5133090903311354
knn,M1_clima8_vetor,10,66,62.09010398288645,0.4713294380026286
knn,M1_clima8_vetor,11,65,56.27349189874953,0.48685674545588686
knn,M1_clima8_vetor,12,64,65.79221033317535,0.4255340846167237
