algoritmo,conjunto,h,n,MAE,R2
lightgbm,M0_clima6,1,154,60.81834774102202,0.8482606387387801
lightgbm,M0_clima6,2,153,90.20835447095479,0.6933157828413694
lightgbm,M0_clima6,3,153,102.5996417398611,0.6331741095345658
lightgbm,M0_clima6,4,152,123.47986749176184,0.4803767363780931
lightgbm,M0_clima6,5,152,129.179021194989,0.5083840359204139
lightgbm,M0_clima6,6,151,117.01704133646652,0.5803716493171913
lightgbm,M0_clima6,7,151,138.57805434666926,0.3995212962096105
lightgbm,M0_clima6,8,150,126.83699720298748,0.5155885811409249
lightgbm,M0_clima6,9,150,134.85712627763,0.43385715064788566
lightgbm,M0_clima6,10,149,131.1540644942403,0.44719696988427515
lightgbm,M0_clima6,11,149,131.61307775178798,0.4770830002704681
lightgbm,M0_clima6,12,148,136.61934909707108,0.4260645952125034
lightgbm,M1_clima6_vetor,1,148,60.21140098984491,0.8309781656304567
lightgbm,M1_clima6_vetor,2,147,88.81578223364579,0.6534578676095941
lightgbm,M1_clima6_vetor,3,147,103.3577130313625,0.5593608608504645
lightgbm,M1_clima6_vetor,4,146,126.47474308046304,0.5397242157917049
lightgbm,M1_clima6_vetor,5,146,115.08106199468483,0.5865590433981496
lightgbm,M1_clima6_vetor,6,145,133.27858016535782,0.42083968591014187
lightgbm,M1_clima6_vetor,7,145,133.27482516081636,0.4142676624364138
lightgbm,M1_clima6_vetor,8,144,143.0845558927648,0.3573277280358781
lightgbm,M1_clima6_vetor,9,144,145.63258861425427,0.3227402334708148
lightgbm,M1_clima6_vetor,10,143,146.7062908747773,0.40609442311920707
lightgbm,M1_clima6_vetor,11,143,134.3155982848475,0.45729568618342786
lightgbm,M1_clima6_vetor,12,142,145.8345945940712,0.3976892020137377
lightgbm,M0_clima8,1,154,59.34755580681872,0.8385976829242856
lightgbm,M0_clima8,2,153,91.29795102212118,0.6901464258991756
lightgbm,M0_clima8,3,153,108.23191999972052,0.5909620281692827
lightgbm,M0_clima8,4,152,122.59531637978623,0.46978081204869115
lightgbm,M0_clima8,5,152,133.62298121478503,0.48121392352368275
lightgbm,M0_clima8,6,151,122.61923454834684,0.5385843578746828
lightgbm,M0_clima8,7,151,139.17755690582453,0.3970254457827408
lightgbm,M0_clima8,8,150,126.09273787704218,0.5157614188714068
lightgbm,M0_clima8,9,150,135.37281438272228,0.4371011444728389
lightgbm,M0_clima8,10,149,136.35162650712272,0.40276930746550144
lightgbm,M0_clima8,11,149,133.2738757993101,0.45596268281635755
lightgbm,M0_clima8,12,148,136.7043760633771,0.4325731284772335
lightgbm,M1_clima8_vetor,1,148,62.5918296418384,0.8189690948061541
lightgbm,M1_clima8_vetor,2,147,91.83644560606763,0.635525775323318
lightgbm,M1_clima8_vetor,3,147,103.6029320716337,0.5577594494214693
lightgbm,M1_clima8_vetor,4,146,125.93133057395238,0.5421065763396895
lightgbm,M1_clima8_vetor,5,146,118.59767217641777,0.537592292660398
lightgbm,M1_clima8_vetor,6,145,131.82057369585098,0.427823248205773
lightgbm,M1_clima8_vetor,7,145,133.10998880050423,0.41661810060676874
lightgbm,M1_clima8_vetor,8,144,143.22957030506592,0.358150449957655
lightgbm,M1_clima8_vetor,9,144,142.87441556265787,0.3549211741991616
lightgbm,M1_clima8_vetor,10,143,152.41455574780844,0.34140113087924784
lightgbm,M1_clima8_vetor,11,143,136.08647832297126,0.4488231947408836
lightgbm,M1_clima8_vetor,12,142,146.85426348692522,0.39228431838460864
