algoritmo,conjunto,h,n,MAE,R2
random_forest,M0_clima6,1,75,38.8728219231565,0.6752759068147347
random_forest,M0_clima6,2,74,41.896108487501984,0.6535112412113666
random_forest,M0_clima6,3,73,51.03564104466512,0.5589566022471831
random_forest,M0_clima6,4,72,58.257315510547706,0.4814631218899973
random_forest,M0_clima6,5,71,63.92391808424281,0.36753544533637295
random_forest,M0_clima6,6,70,67.4088072816096,0.3128868811239516
random_forest,M0_clima6,7,69,69.2750917063635,0.2322150570297392
random_forest,M0_clima6,8,68,72.2231522978872,0.2028035154782839
random_forest,M0_clima6,9,67,65.98605169428225,0.2097386750504251
random_forest,M0_clima6,10,66,71.16896092870546,0.18016022783555186
random_forest,M0_clima6,11,65,68.53056935371525,0.16470145174661677
random_forest,M0_clima6,12,64,69.45864551695433,0.2940907894205712
random_forest,M1_clima6_vetor,1,75,38.43693000739175,0.6857035304148367
random_forest,M1_clima6_vetor,2,74,41.68510475720319,0.6676057971744624
random_forest,M1_clima6_vetor,3,73,51.22435297594283,0.591212865706384
random_forest,M1_clima6_vetor,4,72,60.611812309664145,0.49085194470765137
random_forest,M1_clima6_vetor,5,71,68.64865929963025,0.3167143070823756
random_forest,M1_clima6_vetor,6,70,68.25635529683298,0.34433376120631876
random_forest,M1_clima6_vetor,7,69,65.59409066104541,0.35484458646519423
random_forest,M1_clima6_vetor,8,68,68.01627418707574,0.31085660552411465
random_forest,M1_clima6_vetor,9,67,64.18238523676898,0.356713120735617
random_forest,M1_clima6_vetor,10,66,67.81793822507107,0.3020112294726077
random_forest,M1_clima6_vetor,11,65,70.18091513709817,0.24959047626054864
random_forest,M1_clima6_vetor,12,64,69.7737086507378,0.3522083352642851
random_forest,M0_clima8,1,75,39.18565800050542,0.6742387791575447
random_forest,M0_clima8,2,74,42.07748704794521,0.6531190756450267
random_forest,M0_clima8,3,73,51.33083516482318,0.5581138067651634
random_forest,M0_clima8,4,72,58.22346963671925,0.4807050288678193
random_forest,M0_clima8,5,71,63.75409054772242,0.36766435569544187
random_forest,M0_clima8,6,70,67.5099425678146,0.30900437070638587
random_forest,M0_clima8,7,69,69.19487546828739,0.23211812628685136
random_forest,M0_clima8,8,68,72.06242405210905,0.20379926662496384
random_forest,M0_clima8,9,67,66.47650806529651,0.20799168631062592
random_forest,M0_clima8,10,66,70.1343012896346,0.19322792480019857
random_forest,M0_clima8,11,65,69.34689251339226,0.15836810989765915
random_forest,M0_clima8,12,64,69.51923243848246,0.2932892798211091
random_forest,M1_clima8_vetor,1,75,38.58820845175592,0.6875599241235119
random_forest,M1_clima8_vetor,2,74,41.837097026246965,0.6675758233977456
random_forest,M1_clima8_vetor,3,73,51.415683524574675,0.5908792847269526
random_forest,M1_clima8_vetor,4,72,60.453090728713974,0.4946084687107136
random_forest,M1_clima8_vetor,5,71,68.81923837476823,0.31219347632450245
random_forest,M1_clima8_vetor,6,70,68.31281845771676,0.34430642324462224
random_forest,M1_clima8_vetor,7,69,65.82008693450756,0.35530876236426445
random_forest,M1_clima8_vetor,8,68,68.22441338197552,0.3078426971869589
random_forest,M1_clima8_vetor,9,67,64.04827982390802,0.3634864662522842
random_forest,M1_clima8_vetor,10,66,67.07620772983303,0.31762720596263305
random_forest,M1_clima8_vetor,11,65,69.94193713409561,0.250769172811666
random_forest,M1_clima8_vetor,12,64,69.87731835646613,0.3515956063304302
