algoritmo,conjunto,h,n,MAE,R2
ridge,M0_clima6,1,75,25.495449621195565,0.8093251131937238
ridge,M0_clima6,2,74,46.36087708669218,0.6646355907053098
ridge,M0_clima6,3,73,49.631472482707544,0.6757421884548311
ridge,M0_clima6,4,72,60.1323347951261,0.4904610757557426
ridge,M0_clima6,5,71,76.55464503474212,0.10877122047459664
ridge,M0_clima6,6,70,87.70529498211768,0.04012799980612125
ridge,M0_clima6,7,69,90.27765468736342,-0.09609315042276778
ridge,M0_clima6,8,68,93.080022555337,0.004509434987501559
ridge,M0_clima6,9,67,90.2322022604082,0.01440531426219438
ridge,M0_clima6,10,66,89.9723114488816,0.09130584330589242
ridge,M0_clima6,11,65,83.89193471899442,0.1029810063341896
ridge,M0_clima6,12,64,89.18672509757376,0.10330588657794759
ridge,M1_clima6_vetor,1,75,28.741678268021843,0.8081561506455666
ridge,M1_clima6_vetor,2,74,49.6177587896915,0.6708346721311607
ridge,M1_clima6_vetor,3,73,52.57995232191667,0.711000388954699
ridge,M1_clima6_vetor,4,72,63.221087635857735,0.5120423655843902
ridge,M1_clima6_vetor,5,71,77.38004452040938,0.19543182994624564
ridge,M1_clima6_vetor,6,70,86.40863068101973,0.14531184031516609
ridge,M1_clima6_vetor,7,69,90.69577975924264,0.03911466224734539
ridge,M1_clima6_vetor,8,68,89.65334574148316,0.15703676474370565
ridge,M1_clima6_vetor,9,67,88.10008390479123,0.20266877710844278
ridge,M1_clima6_vetor,10,66,86.28659550991223,0.262109833199084
ridge,M1_clima6_vetor,11,65,86.53627947131532,0.23754834171049288
ridge,M1_clima6_vetor,12,64,91.27379908329009,0.23359179288006826
ridge,M0_clima8,1,75,26.11508427889171,0.809713936371466
ridge,M0_clima8,2,74,46.90640473400661,0.6679264009916033
ridge,M0_clima8,3,73,50.03266781116504,0.6767189207934403
ridge,M0_clima8,4,72,60.51057744735835,0.49149898287695293
ridge,M0_clima8,5,71,76.60209855828363,0.11262982972789981
ridge,M0_clima8,6,70,87.79197068119439,0.04421116144277881
ridge,M0_clima8,7,69,89.95271721200237,-0.0949315345765036
ridge,M0_clima8,8,68,93.31968070251467,0.003901742508324868
ridge,M0_clima8,9,67,90.43717749606587,0.01595369448838524
ridge,M0_clima8,10,66,91.02836718679137,0.09297139300765778
ridge,M0_clima8,11,65,84.38490896557923,0.10500773104652328
ridge,M0_clima8,12,64,89.22419479427383,0.10320533223569273
ridge,M1_clima8_vetor,1,75,29.192181454113506,0.8083346572917465
ridge,M1_clima8_vetor,2,74,50.01036207764696,0.6731501189387745
ridge,M1_clima8_vetor,3,73,52.813536251670456,0.7113456880320588
ridge,M1_clima8_vetor,4,72,63.3493789337114,0.5129138349477357
ridge,M1_clima8_vetor,5,71,77.50155985179804,0.1974255108421774
ridge,M1_clima8_vetor,6,70,86.55541385085161,0.1469022289550076
ridge,M1_clima8_vetor,7,69,90.6694513338933,0.04104155708266355
ridge,M1_clima8_vetor,8,68,89.87007380810199,0.1596864556488472
ridge,M1_clima8_vetor,9,67,88.25580726447545,0.20711663379108447
ridge,M1_clima8_vetor,10,66,86.9238081763742,0.26542828226608706
ridge,M1_clima8_vetor,11,65,87.0938654626736,0.23873201292357882
ridge,M1_clima8_vetor,12,64,92.22712553750937,0.22973498340826004
