algoritmo,conjunto,h,n,MAE,R2
svr,M0_clima6,1,154,125.4832081735782,0.3267115764561874
svr,M0_clima6,2,153,129.5948872018492,0.318370885144983
svr,M0_clima6,3,153,139.13775007938992,0.2900803290664027
svr,M0_clima6,4,152,141.48173944088288,0.23987844019090288
svr,M0_clima6,5,152,154.20733139092917,0.18575879429991138
svr,M0_clima6,6,151,156.83284477094995,0.12994306070610018
svr,M0_clima6,7,151,165.84131916643972,0.07668029452988223
svr,M0_clima6,8,150,163.49124475225486,0.056816886081942575
svr,M0_clima6,9,150,171.3996508062006,0.0016750507626620559
svr,M0_clima6,10,149,170.16144162271195,-0.03221496790206424
svr,M0_clima6,11,149,177.65628670854792,-0.05981949901130723
svr,M0_clima6,12,148,175.03963653385614,-0.056722201432718444
svr,M1_clima6_vetor,1,148,124.86703483877321,0.273402923244762
svr,M1_clima6_vetor,2,147,131.7753843092875,0.2877979208532957
svr,M1_clima6_vetor,3,147,136.47816648121662,0.28002295844154645
svr,M1_clima6_vetor,4,146,149.36965837305382,0.2470096775099313
svr,M1_clima6_vetor,5,146,145.29822506641995,0.2532681013330468
svr,M1_clima6_vetor,6,145,157.45986616680912,0.2255647812545739
svr,M1_clima6_vetor,7,145,148.8714251647621,0.23139256051103774
svr,M1_clima6_vetor,8,144,159.92774738576657,0.22764391323798716
svr,M1_clima6_vetor,9,144,149.45034686606155,0.2598941581821923
svr,M1_clima6_vetor,10,143,160.97012785578124,0.22802616116744934
svr,M1_clima6_vetor,11,143,151.99038049250518,0.2560766380188836
svr,M1_clima6_vetor,12,142,164.5931108154572,0.22947709356156887
svr,M0_clima8,1,154,128.70678920437092,0.3005267488879263
svr,M0_clima8,2,153,131.66022501893553,0.29626388302980766
svr,M0_clima8,3,153,142.18009215478904,0.2636504786997621
svr,M0_clima8,4,152,143.0336659742299,0.22623493590905497
svr,M0_clima8,5,152,155.80048602860614,0.16569463787468597
svr,M0_clima8,6,151,158.0501047873919,0.11599579318027775
svr,M0_clima8,7,151,166.82811227094152,0.06150665135373401
svr,M0_clima8,8,150,163.97440797488866,0.048488900332042895
svr,M0_clima8,9,150,172.04848513049052,-0.011096349725146837
svr,M0_clima8,10,149,169.82443789998788,-0.0339605063865549
svr,M0_clima8,11,149,177.3853923478791,-0.05939766509902067
svr,M0_clima8,12,148,174.40394615439985,-0.057037850657523315
svr,M1_clima8_vetor,1,148,127.0009856980891,0.2600831331239567
svr,M1_clima8_vetor,2,147,133.1900838435927,0.27619583249421886
svr,M1_clima8_vetor,3,147,138.18839200845673,0.26640225812387985
svr,M1_clima8_vetor,4,146,151.043139159188,0.23437012241339739
svr,M1_clima8_vetor,5,146,146.90551010033727,0.23600493300584346
svr,M1_clima8_vetor,6,145,159.41907754646957,0.20596248459894007
svr,M1_clima8_vetor,7,145,150.54161530972675,0.2153188936666982
svr,M1_clima8_vetor,8,144,161.49726146185543,0.20973926396267262
svr,M1_clima8_vetor,9,144,150.86459187340822,0.24461327704709723
svr,M1_clima8_vetor,10,143,162.37470650274102,0.21753908511187936
svr,M1_clima8_vetor,11,143,154.18354805155718,0.23337414692088387
svr,M1_clima8_vetor,12,142,166.5947848174303,0.20696327283159643
