conjunto,h,MAE,R2
M0_clima6,1,26.17061538506751,0.8550337323471593
M0_clima6,2,26.595010463254223,0.8453340442119579
M0_clima6,3,38.068927921516085,0.7393514309037463
M0_clima6,4,43.508941751002354,0.6514594867790577
M0_clima6,5,53.218647052268786,0.5238779841214649
M0_clima6,6,56.197761390532285,0.515283610786933
M0_clima6,7,61.90143683418384,0.43258054273826996
M0_clima6,8,67.41784269066216,0.2688997670700167
M0_clima6,9,69.82861910295901,0.22692465519142013
M0_clima6,10,73.63171557718422,0.16884312769006204
M0_clima6,11,60.03915816394549,0.3051330633136313
M0_clima6,12,72.74129289139931,0.2672528044948056
M1_clima6_vetor,1,28.049601636188516,0.85484912317752
M1_clima6_vetor,2,32.73138346244816,0.8400563903919341
M1_clima6_vetor,3,42.18337114959777,0.7010816816065917
M1_clima6_vetor,4,50.39994606697205,0.6082097280023904
M1_clima6_vetor,5,61.33089685232432,0.39480887282980004
M1_clima6_vetor,6,55.74357952701303,0.5318088710708939
M1_clima6_vetor,7,62.287379645713486,0.4041030990862029
M1_clima6_vetor,8,72.27307343968369,0.2593430668906037
M1_clima6_vetor,9,66.79243758906834,0.30791325411080417
M1_clima6_vetor,10,77.07396568732156,0.20841122155056235
M1_clima6_vetor,11,64.95454698818548,0.2988568688751563
M1_clima6_vetor,12,74.74993792460609,0.17504057195309697
M0_clima8,1,30.912517664849418,0.7908063314783116
M0_clima8,2,30.20741757688498,0.8169463761838434
M0_clima8,3,37.929200042857865,0.7149190058122441
M0_clima8,4,45.4734651091173,0.610691005140571
M0_clima8,5,52.66961519957507,0.5203634182064352
M0_clima8,6,55.28375802393804,0.47403648906540896
M0_clima8,7,54.790366955488125,0.4952669175337412
M0_clima8,8,68.34290779956461,0.19516205632151584
M0_clima8,9,66.38404749199726,0.24871798755786345
M0_clima8,10,68.22205975460218,0.1846258770426351
M0_clima8,11,61.98915866411324,0.2685428587309949
M0_clima8,12,68.64951738829913,0.358891778583337
M1_clima8_vetor,1,28.25903403310879,0.8407183562264248
M1_clima8_vetor,2,34.29404607428676,0.8243650591546895
M1_clima8_vetor,3,42.91898223642997,0.6975587835324814
M1_clima8_vetor,4,54.00761603825795,0.5706161195955622
M1_clima8_vetor,5,58.87981820916006,0.4314436075516196
M1_clima8_vetor,6,54.797168953108994,0.5347762229320838
M1_clima8_vetor,7,64.15804408620053,0.3711584044653288
M1_clima8_vetor,8,70.84389622802374,0.2768579715985112
M1_clima8_vetor,9,67.93012921028283,0.2944108360802523
M1_clima8_vetor,10,74.24072036494785,0.2376140597376588
M1_clima8_vetor,11,66.11399238920023,0.31864577277027895
M1_clima8_vetor,12,70.43912730382164,0.2568532081090523
so_clima,1,31.36903035320592,0.7827865829517375
so_clima,2,37.70918012336326,0.7520721771477705
so_clima,3,41.51502735339648,0.6449875098503133
so_clima,4,45.56298266395431,0.6522316668367856
so_clima,5,46.08595457765409,0.5421542622770028
so_clima,6,49.83244037582282,0.4816673846630041
so_clima,7,61.419572361955765,0.285072279637544
so_clima,8,64.0947287038118,0.3329492888672059
so_clima,9,57.00962508491915,0.3482789630701636
so_clima,10,56.57089363387675,0.3972951340476108
so_clima,11,57.946969247924365,0.36537379290874
so_clima,12,69.44318119663397,0.3265017007280215
so_vetor,1,30.78562125160457,0.8010761839673426
so_vetor,2,31.898897581635143,0.8478721325946749
so_vetor,3,39.98105598886542,0.7353617900995166
so_vetor,4,51.305884994592425,0.6168889986629491
so_vetor,5,55.86979638425936,0.5038763088511493
so_vetor,6,52.05890508247727,0.546680188400241
so_vetor,7,62.913950240927406,0.3816195069073506
so_vetor,8,65.77718508754677,0.3954147347444393
so_vetor,9,71.62040115747048,0.2628135934204478
so_vetor,10,67.43393327491522,0.4598773095017944
so_vetor,11,77.34098898840789,0.2034612964502989
so_vetor,12,87.98288115261222,0.019110142795919
