algoritmo,n,n_pos,tp,fp,fn,tn,sensib,espec,precisao,f1,bal_acc,auc,ap,exp,pctl,h,modelo
lightgbm,679,184,105,26,79,469,0.5706521739130435,0.9474747474747475,0.8015267175572519,0.6666666666666666,0.7590634606938955,0.8704984628897672,0.7319161735854983,A_infodengue,90,4,clima+AR_LGBM
lightgbm,679,184,0,2,184,493,0.0,0.9959595959595959,0.0,0.0,0.49797979797979797,0.7130434782608697,0.39720980423834074,A_infodengue,90,4,sazonal
lightgbm,679,184,141,37,43,458,0.7663043478260869,0.9252525252525252,0.7921348314606742,0.7790055248618785,0.8457784365393061,,,A_infodengue,90,4,persistencia
lightgbm,675,188,82,32,106,455,0.43617021276595747,0.9342915811088296,0.7192982456140351,0.543046357615894,0.6852308969373935,0.8106186377736031,0.6013422532605222,A_infodengue,90,8,clima+AR_LGBM
lightgbm,675,188,0,2,188,485,0.0,0.9958932238193019,0.0,0.0,0.49794661190965095,0.7307931757612827,0.44778211285244346,A_infodengue,90,8,sazonal
lightgbm,675,188,112,70,76,417,0.5957446808510638,0.8562628336755647,0.6153846153846154,0.6054054054054054,0.7260037572633142,,,A_infodengue,90,8,persistencia
lightgbm,671,185,59,37,126,449,0.31891891891891894,0.9238683127572016,0.6145833333333334,0.4199288256227758,0.6213936158380603,0.767456345234123,0.51151393798552,A_infodengue,90,12,clima+AR_LGBM
lightgbm,671,185,0,2,185,484,0.0,0.9958847736625515,0.0,0.0,0.49794238683127573,0.7436992548103659,0.463211666624441,A_infodengue,90,12,sazonal
lightgbm,671,185,80,96,105,390,0.43243243243243246,0.8024691358024691,0.45454545454545453,0.44321329639889195,0.6174507841174508,,,A_infodengue,90,12,persistencia
lightgbm,679,108,59,27,49,544,0.5462962962962963,0.9527145359019265,0.686046511627907,0.6082474226804123,0.7495054160991114,0.9146883310631121,0.6998470477437448,A_infodengue,95,4,clima+AR_LGBM
lightgbm,679,108,0,1,108,570,0.0,0.9982486865148862,0.0,0.0,0.4991243432574431,0.7869721735746255,0.3072145343247132,A_infodengue,95,4,sazonal
lightgbm,679,108,77,25,31,546,0.7129629629629629,0.9562171628721541,0.7549019607843137,0.7333333333333333,0.8345900629175584,,,A_infodengue,95,4,persistencia
lightgbm,675,118,40,30,78,527,0.3389830508474576,0.9461400359066428,0.5714285714285714,0.425531914893617,0.6425615433770502,0.8317104342269421,0.4598117573305432,A_infodengue,95,8,clima+AR_LGBM
lightgbm,675,118,0,1,118,556,0.0,0.9982046678635548,0.0,0.0,0.4991023339317774,0.7960396190244348,0.3856333067096601,A_infodengue,95,8,sazonal
lightgbm,675,118,60,53,58,504,0.5084745762711864,0.9048473967684022,0.5309734513274337,0.5194805194805194,0.7066609865197944,,,A_infodengue,95,8,persistencia
lightgbm,671,119,22,33,97,519,0.18487394957983194,0.9402173913043478,0.4,0.25287356321839083,0.5625456704420899,0.7471532091097309,0.3442862549780564,A_infodengue,95,12,clima+AR_LGBM
lightgbm,671,119,0,1,119,551,0.0,0.9981884057971014,0.0,0.0,0.4990942028985507,0.7942927170868347,0.3767395533577391,A_infodengue,95,12,sazonal
