algoritmo,conjunto,h,n,dMAE,DM_sq,p_sq,DM_abs,p_abs
lightgbm,sem_maturidade,1,307,-2.1500705870707293,-1.3033997879586132,0.9032909406452222,-0.9508688734494901,0.8287893181136162
lightgbm,sem_maturidade,2,306,-4.453019127159521,-1.0673918523904895,0.8566804721297471,-0.8216758554590484,0.7940483821610745
lightgbm,sem_maturidade,3,305,-8.458447423226687,-1.431359991491453,0.9233228545198546,-1.3005368648312672,0.902798970415457
lightgbm,sem_maturidade,4,304,-9.896226176328113,-1.016565095553782,0.8449143057790087,-0.8286636718998694,0.7960264912917294
lightgbm,sem_maturidade,5,303,-14.458053629397838,-1.020402394931101,0.8458228120750774,-1.002311246961011,0.8415021483487757
lightgbm,sem_maturidade,6,302,-6.51027434221092,-0.5758219076021982,0.7174170905913987,-0.4555815028608588,0.6754902895202397
lightgbm,sem_maturidade,7,301,-8.068218699688302,-0.7554731059744554,0.774721054019962,-0.43307423079198765,0.6673639799837086
lightgbm,sem_maturidade,8,300,0.9287846480968653,0.4317242684766386,0.3331264832967931,0.06665875476567525,0.47344895988409363
lightgbm,sem_maturidade,9,299,5.254455174572556,0.8234448852999157,0.20545677117722314,0.29762037579097256,0.38310014800873865
lightgbm,sem_maturidade,10,298,-1.0866989252661199,0.08664129106935464,0.4655075130776974,-0.06444797232481476,0.5256715556110882
lightgbm,sem_maturidade,11,297,3.6295135174481175,0.46823950355955246,0.3199789637164674,0.22533912369816173,0.4109354808163161
lightgbm,sem_maturidade,12,296,-1.6128609836384982,-0.004113909210829824,0.5016398174147474,-0.10431915125057643,0.5415065157740406
lightgbm,com_maturidade,1,295,-1.9062867336423253,-1.294587508465877,0.9017607992500274,-0.8132379332398681,0.7916301271366375
lightgbm,com_maturidade,2,294,0.8381528786042622,-0.9039136713628444,0.816608121539104,0.19193086404780815,0.4239646538059756
lightgbm,com_maturidade,3,293,-2.657460195843157,-1.2037965336505483,0.8851784046424825,-0.5773998102389001,0.7179428357951159
lightgbm,com_maturidade,4,292,1.7207036838448033,-0.4146739695672768,0.6606569413215752,0.25888171429769413,0.3979547661971716
lightgbm,com_maturidade,5,291,0.031318628918128866,-0.26736924057878453,0.6053125369611063,0.006212252403349868,0.49752382140815465
lightgbm,com_maturidade,6,290,7.5438538210980965,0.24902582922840014,0.40175884384459554,1.1110437810033318,0.13373649421724185
lightgbm,com_maturidade,7,289,9.099700288742497,0.18335422565037138,0.4273245529634835,1.193898635403613,0.1167500362226736
lightgbm,com_maturidade,8,288,11.811373095630529,1.2649154525146347,0.1034638728318008,1.2791298983639816,0.10094227037495102
lightgbm,com_maturidade,9,287,18.311902615777882,1.4564043398407467,0.07318890072458392,1.521019581926959,0.06467985727237126
lightgbm,com_maturidade,10,286,12.981151741121707,0.9372596401663918,0.17470928719900639,1.4207879966245769,0.07823577190619836
lightgbm,com_maturidade,11,285,14.870853951150863,1.0194481299703442,0.15442895313162053,1.3027501729206865,0.0968577058987157
lightgbm,com_maturidade,12,284,7.173849561027481,0.38848319531534914,0.3489752904001567,0.5523678300827651,0.29056617259309386
